address,sqr,price,type,dir,renttype
黄家小区,43.28,6500.0,2室0厅,东/南,整租
正房小区,37.71,6200.0,1室1厅,南,整租
名盛苑,210.62,22000.0,4室2厅,复式,整租
新地苑,136.18,15000.0,3室2厅,南,整租
丽园新村,39.82,6300.0,1室1厅,南,整租
南园新村,53.04,7200.0,2室1厅,南,整租
新地苑,136.18,15000.0,3室2厅,南,整租
丽园新村,39.82,6300.0,1室1厅,南,整租
南园新村,53.04,7200.0,2室1厅,南,整租
瞿溪路937弄,35.00,5700.0,1室1厅,南,整租
丰裕里,28.00,5600.0,1室1厅,南,整租
威海路172-190弄,19.00,4000.0,2室0厅,西,整租
平和里,54.00,4800.0,1室1厅,南/北,整租
中福浦江汇,50.94,7900.0,1室1厅,南,整租
山北小区,42.88,7200.0,1室1厅,南,整租
浦江公馆,194.11,48000.0,3室2厅,南,整租
茂名坊,53.57,9000.0,2室1厅,东,整租
六角大楼,115.52,15500.0,3室1厅,南,整租
老西门新苑,84.33,14000.0,1室2厅,东/南/北,整租
斜土新村,34.40,5200.0,1室0厅,南,整租
紫荆新苑,88.00,9700.0,2室2厅,南/北,整租
正房小区,35.67,4900.0,1室0厅,南,整租
上海滩花园,153.00,23100.0,3室2厅,南,整租
复兴坊,50.00,8900.0,2室0厅,南/北,整租
海潮路256弄,12.00,3500.0,1室0厅,南,整租
黄河路107弄,16.90,3500.0,1室1厅,南,整租
老西门新苑,114.94,16500.0,2室2厅,东/南,整租
祥康里,21.00,4700.0,1室1厅,南,整租
瑞金二路200弄,62.86,9000.0,2室2厅,南,整租
金色黄浦,86.06,12000.0,2室1厅,南,整租
中福浦江汇,69.57,9600.0,2室1厅,南,整租
西凌新邨,64.00,8200.0,2室1厅,南,整租
华丽家族汇景天地(商业类),106.25,8600.0,1室1厅,西南/西,整租
瞿西新村,41.24,5200.0,1室1厅,南,整租
太阳都市花园一期,95.40,18800.0,2室1厅,东南,整租
淡水路442弄,33.74,8000.0,1室1厅,南,整租
士林华苑,90.12,13500.0,1室2厅,南,整租
福鑫大楼,67.32,9860.0,2室1厅,东,整租
复兴苑,110.12,17000.0,2室2厅,南,整租
豫景公寓,108.88,13000.0,2室2厅,南,整租
日月光中心伯爵居,113.08,18000.0,2室1厅,南,整租
中福花苑,44.07,7300.0,1室1厅,西北,整租
新华南园大厦,47.71,6500.0,1室1厅,西北,整租
平和里,38.30,6660.0,1室1厅,南,整租
丽园新村,35.79,6090.0,1室1厅,南,整租
黄浦新苑西区,167.68,23000.0,3室2厅,南,整租
黄浦华庭,123.94,17500.0,2室2厅,南/北,整租
中福花苑,57.71,7300.0,1室1厅,东南,整租
斜桥新村,26.73,5190.0,1室1厅,西,整租
陕西南路271弄,31.90,6500.0,1室0厅,南,整租
瞿中小区,38.01,6690.0,1室1厅,南,整租
南园新村,35.53,5930.0,1室1厅,东南,整租
思南新苑,63.81,11500.0,1室2厅,南,整租
牌楼路23-29号,36.78,6000.0,1室0厅,东,整租
华润外滩九里,108.84,25000.0,2室2厅,南,整租
西凌新邨,24.79,4690.0,1室1厅,北,整租
市民新村,65.79,7900.0,2室1厅,南,整租
瑞雪大楼,39.14,5830.0,1室1厅,南,整租
新家坡园景苑,77.99,11130.0,2室1厅,西南,整租
瑞金二路410弄,57.24,8500.0,2室1厅,南,整租
瞿四小区,32.31,5930.0,1室1厅,西,整租
泰山公寓,50.00,10000.0,1室2厅,南,整租
紫勋雍邸,214.94,32000.0,3室2厅,南,整租
蒙自路601弄,40.05,6090.0,1室1厅,南,整租
巨鹿路374弄,38.62,7500.0,1室1厅,南,整租
东淮海公寓,118.69,16000.0,2室2厅,南/北,整租
恒升大厦,57.00,7030.0,1室1厅,东南,整租
南园小区,46.77,6960.0,1室1厅,南,整租
复兴珑御一期,197.58,51000.0,3室2厅,南,整租
淮海大厦,69.19,10000.0,2室1厅,南,整租
打浦路339弄,30.00,5060.0,1室1厅,南,整租
长新大楼,40.43,6600.0,1室1厅,北,整租
华润外滩九里,246.68,60000.0,4室2厅,南/北,整租
连云大楼,58.39,8500.0,1室1厅,南,整租
华丽家族汇景天地(商业类),82.61,12000.0,1室1厅,东,整租
绿地名人坊,113.40,16000.0,2室2厅,南,整租
融创滨江壹号院,216.22,58000.0,4室2厅,南,整租
中福花苑,46.21,6290.0,1室1厅,西南,整租
建德坊,159.53,26000.0,4室2厅,复式,整租
复地雅园公馆,115.25,19000.0,2室2厅,南,整租
蒙自路601弄,24.50,4730.0,1室1厅,北,整租
万宜坊,53.75,9500.0,2室1厅,南,整租
复兴珑御一期,187.07,42000.0,3室2厅,南/北,整租
士林华苑,146.68,23000.0,3室2厅,南,整租
花园公寓(卢湾),23.00,6200.0,1室1厅,南,整租
同益里,30.00,4100.0,2室0厅,南,整租
福鑫大楼,67.32,10500.0,2室1厅,东/北,整租
济南路8号,108.12,25000.0,2室1厅,东/北,整租
上海滩花园,104.00,19000.0,2室2厅,南,整租
翠湖天地雅苑,163.00,35000.0,3室2厅,南,整租
淮海坊,50.00,11000.0,2室1厅,南,整租
绿地海珀外滩,292.50,95000.0,5室2厅,南,整租
上海滩花园,145.66,23000.0,3室2厅,南/北,整租
复兴珑御一期,197.00,60000.0,3室2厅,南,整租
金色家园,154.39,27500.0,3室2厅,南,整租
城市一品苑,156.38,33900.0,3室1厅,南,整租
耀江花园,111.00,15800.0,2室2厅,南,整租
南园新村,44.04,7200.0,2室1厅,南,整租
中福浦江汇,54.70,8500.0,2室1厅,南,整租
建新公寓,91.91,13000.0,2室1厅,南,整租
永业公寓,134.29,24000.0,3室2厅,东南/南,整租
思南新苑,115.24,16500.0,2室2厅,南,整租
金谷邨,128.00,22000.0,1室2厅,南,整租
丽园新村,23.11,4500.0,1室0厅,北,整租
浦江公馆,286.34,46000.0,4室2厅,南/北,整租
中南小区,96.05,12000.0,2室2厅,南,整租
海琪园,109.94,15000.0,2室2厅,南,整租
陕西南路271弄23支弄,57.65,9600.0,2室1厅,南,整租
瑞南新苑,143.84,20000.0,3室2厅,南/北,整租
汝南街小区,38.37,8300.0,1室1厅,南,整租
中福城,93.55,17800.0,2室1厅,南/北,整租
鲁中小区,34.62,5800.0,,1室1厅,整租
瞿溪新村,29.77,5200.0,1室1厅,南,整租
四新小区,38.57,6500.0,1室1厅,南,整租
滨江名人苑,114.99,20000.0,2室2厅,南,整租
海琪园,109.94,15000.0,2室2厅,南/北,整租
牌楼路31弄,55.12,7500.0,2室0厅,南,整租
振华里小区,55.00,11000.0,2室1厅,南,整租
中福花苑,42.46,6700.0,1室1厅,北,整租
福鑫大楼,67.32,9500.0,2室0厅,北,整租
卢湾城市花园,61.89,9000.0,1室1厅,南,整租
建德坊,58.46,12800.0,1室2厅,南,整租
华丽家族汇景天地(商业类),63.63,9000.0,1室1厅,南,整租
东元坊,76.00,12000.0,2室1厅,南,整租
五岭小区,35.76,5500.0,1室1厅,南,整租
申江新苑,71.16,10500.0,1室2厅,东南,整租
金外滩花园,170.72,26000.0,3室2厅,南,整租
外滩公馆,154.45,25500.0,3室2厅,南/北,整租
康瞿小区,38.41,6500.0,1室1厅,南/北,整租
牌楼路23-29号,22.10,5000.0,1室0厅,西,整租
唐城公寓,132.62,18000.0,3室2厅,南,整租
雅州公寓,151.00,21000.0,3室2厅,东/东南/南,整租
东元坊,96.15,13000.0,3室1厅,南/西,整租
北蒙三小区,23.90,5500.0,1室1厅,东/北,整租
顺天村(南区),35.69,7500.0,1室1厅,南,整租
日月光中心伯爵居,113.01,16800.0,2室1厅,南,整租
新家坡园景苑,76.73,12500.0,1室2厅,东南,整租
打浦路470弄,47.98,6500.0,1室1厅,东,整租
惠达大厦,101.90,15000.0,2室1厅,东,整租
复兴苑,110.12,22000.0,2室2厅,南,整租
车站支路30-40号,35.02,5000.0,1室0厅,南,整租
复兴珑御二期,178.76,55000.0,3室2厅,南,整租
耀江花园,63.27,11000.0,1室1厅,南,整租
唐家宅小区,42.00,5800.0,1室1厅,南,整租
瑞雪大楼,38.81,8300.0,1室1厅,南,整租
丽园新村,34.20,5600.0,1室1厅,南,整租
中福浦江汇,48.41,7500.0,1室1厅,南,整租
中福花苑,42.46,7000.0,1室1厅,西,整租
瞿中小区,40.71,5400.0,1室1厅,南,整租
蒙西小区,36.87,6000.0,1室1厅,南,整租
雅州公寓,150.97,26000.0,3室2厅,南/北,整租
名盛苑,148.80,21000.0,3室2厅,南,整租
五岭小区,38.81,6700.0,1室1厅,南,整租
黄浦华庭,111.28,17000.0,2室2厅,南,整租
北蒙三小区,34.20,7000.0,1室0厅,东南,整租
四川南路44弄,38.95,6600.0,1室1厅,南,整租
黄家小区,48.14,8000.0,1室1厅,南,整租
明德里,39.10,9500.0,1室1厅,南,整租
中山南一路246弄,37.49,6800.0,1室1厅,南,整租
秀水苑(黄浦),88.75,10500.0,2室1厅,南,整租
承兴里,19.30,8000.0,1室0厅,北,整租
瞿溪新村,49.00,6500.0,1室1厅,东南,整租
济南路9号,108.13,29000.0,1室1厅,西南,整租
老西门新苑,288.00,38000.0,4室2厅,南,整租
瑞福小区,45.65,7200.0,1室1厅,西南,整租
瑞福小区,53.90,7100.0,1室1厅,南,整租
浦江公馆,193.03,27000.0,3室2厅,南/北,整租
桥蒙小区,48.00,7700.0,2室1厅,南,整租
汇丽小区,65.10,15000.0,2室1厅,南,整租
龙门邨,287.66,43000.0,4室3厅,复式,整租
福鑫大楼,67.32,9600.0,2室1厅,东/东北,整租
金外滩花园,136.37,21000.0,2室2厅,南/北,整租
中福花苑,58.66,8200.0,2室1厅,复式,整租
泰康路21号,33.84,5600.0,1室1厅,南,整租
长新大楼,43.59,6800.0,1室1厅,北,整租
金外滩花园,101.00,18000.0,2室2厅,南,整租
华润外滩九里,166.40,23000.0,2室2厅,南,整租
华丽家族汇景天地(商业类),68.09,9200.0,1室1厅,北,整租
恒升大厦,117.11,14000.0,2室1厅,南,整租
瑞金新苑,230.00,35000.0,3室3厅,东/南,整租
西凌新邨,79.11,13980.0,2室2厅,东,整租
日月光中心伯爵居,62.95,13500.0,1室1厅,东,整租
复兴珑御一期,197.00,45000.0,3室2厅,南,整租
老西门新苑,288.30,41000.0,4室2厅,南,整租
上海滩花园,104.15,16000.0,2室2厅,南,整租
中福浦江汇,48.84,8300.0,1室1厅,南,整租
中福花苑,56.99,8500.0,1室1厅,复式,整租
新地苑,118.85,18000.0,3室2厅,南,整租
南塘浜路123弄,34.87,6500.0,1室1厅,南,整租
开城新苑,119.44,16000.0,3室2厅,南/北,整租
制造局路779-781号,14.00,3800.0,1室1厅,东,整租
锦凯华苑,100.37,12000.0,2室1厅,南,整租
复兴珑御一期,197.58,51000.0,3室2厅,南,整租
中福浦江汇,47.77,8500.0,1室1厅,南,整租
永理二小区,28.80,4500.0,1室1厅,南,整租
外滩公馆,154.85,24000.0,3室2厅,南/北,整租
露香园,243.77,52000.0,4室2厅,东南/南/西北/北,整租
南园新村,37.32,5300.0,1室1厅,南,整租
华丽家族汇景天地(商业类),64.86,8500.0,1室1厅,北,整租
瑞福小区,47.00,6700.0,1室1厅,西南,整租
思南公寓,151.24,18800.0,2室2厅,南,整租
独立时代,42.00,8500.0,1室1厅,东,整租
瞿西新村,32.52,5500.0,1室1厅,南,整租
黄浦华庭,123.94,17500.0,2室2厅,南,整租
丽都大厦,105.23,17000.0,2室1厅,西,整租
茂名大楼,82.99,15000.0,2室1厅,东南,整租
明德邨,45.00,9000.0,1室1厅,南,整租
翠湖天地御苑,321.95,88000.0,4室2厅,南,整租
瞿溪新村,54.14,7000.0,2室1厅,南,整租
振颖苑,68.26,10500.0,2室1厅,东,整租
建国西路46号,48.87,10500.0,2室1厅,南/北,整租
华丽家族汇景天地(商业类),62.44,10000.0,1室1厅,南,整租
恒丰大楼(黄浦),28.98,7000.0,1室1厅,南,整租
永业公寓,149.30,29000.0,3室2厅,南/北,整租
翠湖天地嘉苑,127.63,28000.0,2室2厅,南/北,整租
祥康里,21.00,4700.0,1室1厅,南,整租
保屯路50弄,37.95,6000.0,1室1厅,南,整租
林荫大楼,82.48,13000.0,3室1厅,西,整租
中福花苑,42.46,7400.0,1室1厅,东,整租
北蒙三小区,34.20,7000.0,1室0厅,东南,整租
百花公寓,120.22,13000.0,2室2厅,西南,整租
瞿溪路115-131号,24.10,4500.0,1室1厅,南,整租
越纪公寓,78.57,10000.0,2室1厅,南,整租
翠湖天地嘉苑,128.08,35000.0,2室2厅,西南,整租
通达大厦,95.25,13000.0,2室2厅,南,整租
明日星城（一期）,99.79,13000.0,2室1厅,南,整租
祥茂新村,15.80,3700.0,1室1厅,南,整租
重建小区,50.05,8000.0,2室1厅,南/北,整租
大林大楼,62.69,8400.0,2室1厅,南,整租
马当小区,43.34,8500.0,1室1厅,东,整租
中福大厦,39.95,6500.0,1室1厅,西,整租
联海小区,36.79,6000.0,1室1厅,南,整租
复兴珑御一期,243.12,46000.0,3室2厅,南,整租
南康公寓,51.51,7800.0,1室1厅,南,整租
原水小区(卢湾),73.78,11500.0,2室1厅,南,整租
露香园,243.77,46000.0,4室2厅,南,整租
北蒙三小区,54.90,9000.0,2室1厅,西南,整租
绿地海珀黄浦,138.38,36000.0,3室2厅,南,整租
康瞿小区,49.14,6600.0,2室0厅,南,整租
中福城,133.13,20000.0,2室2厅,南,整租
中福浦江汇,48.84,7800.0,1室0厅,南,整租
丽文小区,40.88,6500.0,,1室1厅,整租
绍兴路56弄-60号,13.00,4200.0,1室1厅,北,整租
共和园小区,32.82,6400.0,1室0厅,南/北,整租
金外滩花园,135.33,21000.0,2室2厅,南,整租
四川南路44弄,38.95,6600.0,1室1厅,南,整租
华润外滩九里,90.63,22000.0,1室2厅,南,整租
蒙西小区,30.60,4980.0,1室0厅,北,整租
打浦路303弄,27.97,5500.0,1室0厅,南,整租
瞿四小区,36.00,5500.0,1室1厅,南,整租
香港广场,99.71,20000.0,2室2厅,东,整租
瞿西新村,41.24,5200.0,1室1厅,南,整租
恒升大厦,89.10,9800.0,2室1厅,南,整租
北京东路335-355号,37.14,7500.0,1室1厅,南,整租
西凌新邨,30.00,4800.0,1室1厅,北,整租
中福浦江汇,48.83,7800.0,1室1厅,南,整租
南陆大厦,72.02,9500.0,2室2厅,南,整租
国货路374-378号,29.75,5500.0,1室0厅,东,整租
中福城,133.13,20000.0,2室2厅,南,整租
瞿溪路463弄,26.21,5000.0,1室1厅,南,整租
中福浦江汇,48.84,7800.0,1室0厅,南,整租
上海滩花园,84.00,16000.0,1室2厅,南,整租
绍兴路56弄-60号,13.00,4200.0,1室1厅,北,整租
丽文小区,40.88,6000.0,,1室1厅,整租
金外滩花园,135.33,21000.0,2室2厅,南,整租
海洲丽园,109.67,15000.0,2室2厅,南,整租
中福花苑,43.23,6800.0,1室1厅,北,整租
华府天地睿园,158.00,36000.0,3室2厅,南,整租
天柱山路小区,75.69,10000.0,2室2厅,南,整租
蒙西小区,58.79,10000.0,2室1厅,南,整租
斜土新村,41.10,6200.0,1室1厅,东,整租
海潮新村,37.70,6000.0,1室1厅,南,整租
淮海中路610号,20.40,5500.0,1室1厅,南,整租
瑞福小区,62.71,8800.0,2室1厅,南,整租
中福城,184.69,39800.0,3室2厅,东南/南,整租
上海滩新昌城,60.54,11800.0,1室1厅,南,整租
西凌新邨,40.79,6500.0,1室1厅,南,整租
福州大楼,66.31,11800.0,2室1厅,南,整租
南园小区,50.76,7800.0,1室1厅,南,整租
西凌新邨,39.69,8300.0,1室1厅,南,整租
滨江名人苑,101.10,16500.0,2室2厅,南,整租
瞿溪路830弄,34.02,6500.0,1室0厅,南,整租
济南路8号,147.97,35000.0,2室2厅,南,整租
中福浦江汇,110.48,18800.0,3室1厅,南,整租
黄浦新苑东区,158.11,26000.0,3室2厅,东南/南,整租
绿地海珀黄浦,138.38,36000.0,3室2厅,南,整租
卢湾都市花园,117.62,16000.0,3室1厅,南,整租
复兴珑御一期,91.72,28000.0,1室2厅,南,整租
康瞿小区,49.14,6600.0,2室0厅,南,整租
丽文小区,40.88,6500.0,,1室1厅,整租
南园小区,66.25,8300.0,2室1厅,东南,整租
共和园小区,32.82,6400.0,1室0厅,南/北,整租
黄浦华庭,81.80,11500.0,1室2厅,南,整租
瑞南新苑,94.00,15000.0,2室1厅,南,整租
四川南路44弄,38.95,6600.0,1室1厅,南,整租
申江新苑,67.16,9500.0,1室2厅,南/西,整租
瑞金二路410弄,23.00,5200.0,1室0厅,南/西南,整租
南塘浜路93弄,33.64,6000.0,1室1厅,南,整租
大同花园南区,93.55,14000.0,2室2厅,南,整租
