address,info,price,rtype,sqr,dir,dec,heights,built,btype,price_per_sqr
融创滨江壹号院 ,3室2厅 | 189.77平米 | 南 | 精装 | 低楼层(共38层) | 2012年建 | 板楼,32000000.0,3室2厅 , 189.77平米 , 南 , 精装 , 低楼层(共38层) , 2012年建 , 板楼,168626
黄浦新苑西区 ,3室2厅 | 141.1平米 | 南 | 精装 | 中楼层(共26层) | 2001年建 | 板楼,16800000.0,3室2厅 , 141.1平米 , 南 , 精装 , 中楼层(共26层) , 2001年建 , 板楼,119065
联兴大厦 ,3室2厅 | 151.66平米 | 南 北 东 | 精装 | 高楼层(共20层) | 1999年建 | 板楼,15620000.0,3室2厅 , 151.66平米 , 南 北 东 , 精装 , 高楼层(共20层) , 1999年建 , 板楼,102994
绿洲仕格维花园 ,2室2厅 | 140.13平米 | 南 | 精装 | 高楼层(共35层) | 2005年建 | 板楼,18500000.0,2室2厅 , 140.13平米 , 南 , 精装 , 高楼层(共35层) , 2005年建 , 板楼,132021
南浦公寓 ,2室1厅 | 79.35平米 | 南 | 简装 | 低楼层(共24层) | 1996年建 | 塔楼,7750000.0,2室1厅 , 79.35平米 , 南 , 简装 , 低楼层(共24层) , 1996年建 , 塔楼,97669
江南新苑 ,2室1厅 | 81.46平米 | 南 | 简装 | 中楼层(共30层) | 1997年建 | 塔楼,8550000.0,2室1厅 , 81.46平米 , 南 , 简装 , 中楼层(共30层) , 1997年建 , 塔楼,104960
黄浦丽园 ,3室2厅 | 164.36平米 | 南 北 | 精装 | 中楼层(共26层) | 2008年建 | 板楼,23800000.0,3室2厅 , 164.36平米 , 南 北 , 精装 , 中楼层(共26层) , 2008年建 , 板楼,144805
翠湖天地御苑 ,3室2厅 | 186.75平米 | 南 | 精装 | 中楼层(共32层) | 2006年建 | 板楼,43500000.0,3室2厅 , 186.75平米 , 南 , 精装 , 中楼层(共32层) , 2006年建 , 板楼,232932
中汇公寓 ,3室2厅 | 143.69平米 | 南 | 精装 | 高楼层(共10层) | 2002年建 | 板楼,21000000.0,3室2厅 , 143.69平米 , 南 , 精装 , 高楼层(共10层) , 2002年建 , 板楼,146148
延安中路527号 ,1室1厅 | 31.78平米 | 北 | 简装 | 高楼层(共6层) | 1977年建 | 板楼,3200000.0,1室1厅 , 31.78平米 , 北 , 简装 , 高楼层(共6层) , 1977年建 , 板楼,100693
人才大厦 ,2室1厅 | 122.82平米 | 西南 | 简装 | 高楼层(共24层) | 1998年建 | 塔楼,11800000.0,2室1厅 , 122.82平米 , 西南 , 简装 , 高楼层(共24层) , 1998年建 , 塔楼,96076
新家坡园景苑 ,3室2厅 | 114.35平米 | 南 | 精装 | 低楼层(共34层) | 1999年建 | 塔楼,11500000.0,3室2厅 , 114.35平米 , 南 , 精装 , 低楼层(共34层) , 1999年建 , 塔楼,100569
公馆77 ,3室2厅 | 156.97平米 | 南 | 精装 | 中楼层(共12层) | 2012年建 | 板楼,28300000.0,3室2厅 , 156.97平米 , 南 , 精装 , 中楼层(共12层) , 2012年建 , 板楼,180290
太阳都市花园二期 ,3室2厅 | 178.75平米 | 南 | 精装 | 中楼层(共29层) | 2003年建 | 板楼,22350000.0,3室2厅 , 178.75平米 , 南 , 精装 , 中楼层(共29层) , 2003年建 , 板楼,125035
平和里 ,1室1厅 | 71.36平米 | 南 | 精装 | 中楼层(共8层) | 2003年建 | 板楼,9680000.0,1室1厅 , 71.36平米 , 南 , 精装 , 中楼层(共8层) , 2003年建 , 板楼,135651
中汇公寓 ,3室2厅 | 140.8平米 | 南 | 精装 | 高楼层(共33层) | 2002年建 | 板楼,19280000.0,3室2厅 , 140.8平米 , 南 , 精装 , 高楼层(共33层) , 2002年建 , 板楼,136932
茂名大楼 ,2室1厅 | 59.14平米 | 南 | 精装 | 低楼层(共16层) | 1992年建 | 塔楼,6800000.0,2室1厅 , 59.14平米 , 南 , 精装 , 低楼层(共16层) , 1992年建 , 塔楼,114982
黄浦大楼 ,2室2厅 | 87.99平米 | 南 | 简装 | 中楼层(共24层) | 1996年建 | 塔楼,11980000.0,2室2厅 , 87.99平米 , 南 , 简装 , 中楼层(共24层) , 1996年建 , 塔楼,136152
华府天地睿园 ,3室2厅 | 147.11平米 | 南 北 | 精装 | 中楼层(共15层) | 2016年建 | 板楼,31500000.0,3室2厅 , 147.11平米 , 南 北 , 精装 , 中楼层(共15层) , 2016年建 , 板楼,214126
威海苑 ,3室2厅 | 135.85平米 | 南 | 精装 | 低楼层(共18层) | 1999年建 | 塔楼,11800000.0,3室2厅 , 135.85平米 , 南 , 精装 , 低楼层(共18层) , 1999年建 , 塔楼,86861
淡水湾花园 ,2室2厅 | 102.21平米 | 南 | 简装 | 29层 | 2007年建 | 板楼,14990000.0,2室2厅 , 102.21平米 , 南 , 简装 , 29层 , 2007年建 , 板楼,146659
建国西路158弄 ,2室1厅 | 61.49平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,7000000.0,2室1厅 , 61.49平米 , 南 , 简装 , 高楼层(共6层) , 1987年建 , 板楼,113840
建德小区 ,3室1厅 | 65.92平米 | 南 北 | 简装 | 低楼层(共5层) | 1979年建 | 板楼,8500000.0,3室1厅 , 65.92平米 , 南 北 , 简装 , 低楼层(共5层) , 1979年建 , 板楼,128945
达新大楼 ,2室1厅 | 67.4平米 | 南 | 精装 | 高楼层(共15层) | 1992年建 | 板楼,7200000.0,2室1厅 , 67.4平米 , 南 , 精装 , 高楼层(共15层) , 1992年建 , 板楼,106825
明日星城(二期、三期) ,2室2厅 | 97.95平米 | 南 | 简装 | 高楼层(共33层) | 2011年建 | 板楼,14350000.0,2室2厅 , 97.95平米 , 南 , 简装 , 高楼层(共33层) , 2011年建 , 板楼,146504
太阳都市花园一期 ,2室2厅 | 96.13平米 | 东南 东 | 精装 | 中楼层(共24层) | 1999年建 | 塔楼,12000000.0,2室2厅 , 96.13平米 , 东南 东 , 精装 , 中楼层(共24层) , 1999年建 , 塔楼,124831
江南世纪新苑 ,2室2厅 | 97.07平米 | 南 北 | 精装 | 中楼层(共25层) | 1999年建 | 塔楼,10620000.0,2室2厅 , 97.07平米 , 南 北 , 精装 , 中楼层(共25层) , 1999年建 , 塔楼,109406
同兴大楼 ,2室2厅 | 84.46平米 | 南 北 | 精装 | 中楼层(共13层) | 1992年建 | 板楼,7900000.0,2室2厅 , 84.46平米 , 南 北 , 精装 , 中楼层(共13层) , 1992年建 , 板楼,93536
海华花园 ,3室2厅 | 117.37平米 | 南 | 精装 | 中楼层(共33层) | 1994年建 | 板塔结合,12900000.0,3室2厅 , 117.37平米 , 南 , 精装 , 中楼层(共33层) , 1994年建 , 板塔结合,109909
金外滩花园 ,4室2厅 | 207.9平米 | 南 北 东 | 精装 | 32层 | 2006年建 | 板楼,36300000.0,4室2厅 , 207.9平米 , 南 北 东 , 精装 , 32层 , 2006年建 , 板楼,174604
卢湾城市花园 ,3室2厅 | 135.48平米 | 南 | 简装 | 低楼层(共26层) | 2002年建 | 板楼,16500000.0,3室2厅 , 135.48平米 , 南 , 简装 , 低楼层(共26层) , 2002年建 , 板楼,121790
白玉兰家园 ,2室2厅 | 113.74平米 | 南 | 简装 | 中楼层(共30层) | 2001年建 | 板楼,17170000.0,2室2厅 , 113.74平米 , 南 , 简装 , 中楼层(共30层) , 2001年建 , 板楼,150959
瞿溪坊 ,2室2厅 | 78.44平米 | 南 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,7680000.0,2室2厅 , 78.44平米 , 南 , 简装 , 中楼层(共7层) , 1997年建 , 板楼,97910
豫欣公寓 ,3室1厅 | 135.15平米 | 南 北 | 精装 | 低楼层(共34层) | 2002年建 | 塔楼,14180000.0,3室1厅 , 135.15平米 , 南 北 , 精装 , 低楼层(共34层) , 2002年建 , 塔楼,104921
秀水苑(黄浦) ,4室2厅 | 150.98平米 | 南 西南 西 | 精装 | 中楼层(共24层) | 1996年建 | 塔楼,12980000.0,4室2厅 , 150.98平米 , 南 西南 西 , 精装 , 中楼层(共24层) , 1996年建 , 塔楼,85972
威海苑 ,3室2厅 | 160平米 | 南 | 简装 | 低楼层(共18层) | 1999年建 | 塔楼,16500000.0,3室2厅 , 160平米 , 南 , 简装 , 低楼层(共18层) , 1999年建 , 塔楼,103125
上海滩花园 ,7室4厅 | 268.36平米 | 南 | 精装 | 30层 | 2006年建 | 板楼,48200000.0,7室4厅 , 268.36平米 , 南 , 精装 , 30层 , 2006年建 , 板楼,179610
中福城 ,4室2厅 | 198.27平米 | 南 | 精装 | 低楼层(共26层) | 2005年建 | 板楼,24900000.0,4室2厅 , 198.27平米 , 南 , 精装 , 低楼层(共26层) , 2005年建 , 板楼,125587
经纬公寓 ,3室2厅 | 172.03平米 | 南 东南 | 简装 | 高楼层(共22层)  | 板楼,23000000.0,3室2厅 , 172.03平米 , 南 东南 , 简装 , 高楼层(共22层)  , 板楼,,133698
海洲丽园 ,3室2厅 | 130.05平米 | 南 | 精装 | 高楼层(共24层) | 2005年建 | 板楼,19000000.0,3室2厅 , 130.05平米 , 南 , 精装 , 高楼层(共24层) , 2005年建 , 板楼,146098
